word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
certain,0.16455696202531644,20.583333333333332,12,0.039367043309741515,0.17857142857142858,0.3,0.175,0.375
closed,0.12903225806451613,21.916666666666668,12,0.22427685889932839,0.27562830687830686,0.95,1.0,0.95
comparison,0.11515151515151516,22.25,12,0.06379743748240994,0.30787037037037035,0.65,0.45,0.75
concluded,0.08673469387755102,26.666666666666668,12,0.04647656612926056,0.7908399470899471,0.6,0.5,0.7
conditions,0.11210762331838565,32.0,12,0.09491196937031213,0.20904982363315697,1.0,0.875,0.7
confidence,0.08426966292134831,21.916666666666668,12,0.009748465485042955,0.7737544091710759,0.1,0.15,0.07500000000000001
confusion,0.10396039603960396,26.25,12,0.012435876660876744,0.24079585537918874,0.6000000000000001,0.6000000000000001,0.525
contained,0.09826589595375723,21.416666666666668,12,0.09447906745804678,0.8649140211640212,0.8,0.8,0.7250000000000001
demand,0.15,26.666666666666668,12,0.06029259827401899,0.6861221340388007,0.525,0.35,0.7
depth,0.10747663551401869,31.083333333333332,12,0.09517579939630294,0.4349647266313933,0.95,0.75,0.9
determined,0.09302325581395349,24.583333333333332,12,0.04979854159884978,0.6964285714285714,0.575,0.325,0.625
die,0.14193548387096774,23.166666666666668,12,0.2987646228737301,0.23781966490299825,1.0,0.8,1.0
director,0.08,28.0,12,0.03614751829041371,0.19130291005291006,0.5,0.6,0.2
dollars,0.14917127071823205,24.0,12,0.008304241630766089,0.5570987654320988,0.075,0.175,0.15000000000000002
doubt,0.12290502793296089,23.666666666666668,12,0.26767908864551115,0.18165784832451498,0.9,0.35,1.0
dress,0.11731843575418995,24.833333333333332,12,0.21645817822880212,0.19642857142857142,0.8999999999999999,0.5,0.95
dry,0.1,15.083333333333334,12,0.2936319609483083,0.6399911816578483,1.0,0.95,1.0
east,0.1152073732718894,30.166666666666668,12,0.03879419631428185,0.2361111111111111,0.6000000000000001,0.5,0.575
enforced,0.12149532710280374,27.833333333333332,12,0.0018018285433451223,0.3055555555555556,0.375,0.525,0.225
enjoyed,0.12365591397849462,24.916666666666668,12,0.17072920997937516,0.8462852733686067,0.825,0.5,0.975
entitled,0.12217194570135746,30.833333333333332,12,0.594154824813207,0.9228395061728395,1.0,0.75,1.0
equal,0.11013215859030837,32.916666666666664,12,0.08662986093097258,0.2227733686067019,0.525,0.2,0.6000000000000001
estimate,0.1031390134529148,31.75,12,0.20466704832182986,0.9197530864197532,0.6,0.225,0.8500000000000001
exercise,0.078125,25.25,12,0.19442766242557097,0.7076719576719577,0.7,0.55,0.85
experiment,0.0898876404494382,26.083333333333332,12,0.25672111246320933,0.7106481481481481,0.95,1.0,0.95
explanation,0.0972972972972973,25.083333333333332,12,0.025520364443461053,0.2945326278659612,0.3,0.425,0.30000000000000004
extremely,0.09340659340659341,24.5,12,0.038447982735103976,0.949074074074074,0.4,0.55,0.32499999999999996
favor,0.1323529411764706,18.75,12,0.37092023094495136,0.7005070546737213,1.0,0.6,1.0
fire,0.12408759124087591,16.416666666666668,12,0.1505674918492635,0.4635141093474427,0.625,0.25,0.875
fit,0.0855614973262032,24.333333333333332,12,0.1136058469613393,0.7267416225749559,0.8500000000000001,0.75,0.8
fool,0.18556701030927836,13.333333333333334,12,0.026152564419640388,0.503858024691358,0.4,0.15000000000000002,0.45
forward,0.0625,16.583333333333332,12,0.15977849562962845,0.9166666666666666,0.65,0.55,0.65
french,0.100418410041841,29.916666666666668,12,0.13316716750462845,0.9351851851851851,0.725,0.725,0.7
gained,0.11063829787234042,33.416666666666664,12,0.004742837614483266,0.6752094356261024,0.07500000000000001,0.15,0.125
gathered,0.0871559633027523,28.416666666666668,12,0.10209548804495062,0.3413800705467372,0.8500000000000001,0.775,0.875
glance,0.13725490196078433,19.5,12,0.12208844555748828,0.7878086419753086,0.7,0.4,0.9
handled,0.16981132075471697,21.916666666666668,12,0.047502477963765416,0.9965277777777778,0.375,0.175,0.475
heavy,0.1597222222222222,19.166666666666668,12,0.011686729060278955,0.8368055555555556,0.07500000000000001,0.22499999999999998,0.1
hesitated,0.15151515151515152,18.083333333333332,12,0.0015113751093546418,0.16666666666666666,0.425,0.4,0.42500000000000004
hope,0.1368421052631579,27.0,12,0.0409331917762756,0.14484126984126985,0.325,0.175,0.45
humor,0.125,26.083333333333332,12,0.024330198764800987,0.5403439153439153,0.475,0.35,0.6
ignored,0.10416666666666667,24.25,12,0.008149090740415746,0.29635141093474426,0.375,0.15000000000000002,0.4
