group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,linear,without_realize,9,0.3230875962652205,0.3104766041064981,9,0,0.21916847265781866,0.4841495629388523,0.30295485043101644,0.3360774867161457,llama-2-7b,qwen2-7b,1.5943589128448336e-06,0.00390625
decoders,quadratic,without_realize,9,0.17926138467514574,0.21376682296227825,8,1,-0.03680738979824064,0.3718420539780809,0.1551888010122789,0.20626998148431908,llama-2-7b,qwen2-7b,0.0031598136710775343,0.01171875
decoders,linear,without_recognize,9,0.32305577265334573,0.3107233979943142,9,0,0.21916223055844686,0.4842057882656772,0.3029120207018043,0.3360424654152081,llama-2-7b,qwen2-7b,1.6086541076869691e-06,0.00390625
decoders,quadratic,without_recognize,9,0.17946224484633946,0.21387179851657726,8,1,-0.03679583998536963,0.37223081058185037,0.15536617412940062,0.2064945054503031,llama-2-7b,qwen2-7b,0.0031488565511939943,0.01171875
decoders,linear,without_said,9,0.3235026926030767,0.31114856453662354,9,0,0.21952245761427902,0.4848567551712435,0.3033334347820559,0.3365002219766764,llama-2-7b,qwen2-7b,1.5919389388922179e-06,0.00390625
decoders,quadratic,without_said,9,0.17943682266253966,0.21417905087447056,8,1,-0.036909038974237876,0.37223483308981176,0.15533707135913066,0.20648005536713684,llama-2-7b,qwen2-7b,0.0031588129436985733,0.01171875
decoders,linear,without_snow,9,0.32298111127286344,0.3106171778662337,9,0,0.21908954437279232,0.484089147615868,0.30284260672998786,0.3359675571353723,llama-2-7b,qwen2-7b,1.60239960079584e-06,0.00390625
decoders,quadratic,without_snow,9,0.17928925673480822,0.21387989981963862,8,1,-0.03695674810925793,0.37190126009421837,0.15521275631488196,0.20632000734031647,llama-2-7b,qwen2-7b,0.0031564739173533815,0.01171875
decoders,linear,without_suggested,9,0.32368353767607083,0.3109099645151348,9,0,0.2204026353871495,0.4848076147379802,0.3035430280433321,0.336593650462186,llama-2-7b,qwen2-7b,1.5713261315378394e-06,0.00390625
decoders,quadratic,without_suggested,9,0.17952577019131066,0.2140042198805103,8,1,-0.03611514876630739,0.3722334665134648,0.1554373081510414,0.20648088506101292,llama-2-7b,qwen2-7b,0.003115285719075295,0.01171875
decoders,linear,without_sun,9,0.32320110066603175,0.31106710807881854,9,0,0.2191369060463483,0.4841498835279027,0.30308250280829785,0.33620912499349215,llama-2-7b,qwen2-7b,1.6032794438169663e-06,0.00390625
decoders,quadratic,without_sun,9,0.17943957206411876,0.2137949623180657,8,1,-0.036931437480902135,0.37203741649211225,0.15536484151061958,0.20648594825724637,llama-2-7b,qwen2-7b,0.003132206022230424,0.01171875
decoders,linear,without_technical,9,0.3230427043692791,0.31057185707955764,9,0,0.21907789463875102,0.4843115288811182,0.30288410130529925,0.3360383055855951,llama-2-7b,qwen2-7b,1.6144545062331768e-06,0.00390625
decoders,quadratic,without_technical,9,0.17943354510108078,0.21367950159027022,8,1,-0.03703896875696952,0.3724479386560019,0.15530674590671564,0.20649260933333707,llama-2-7b,qwen2-7b,0.0031620193139784347,0.01171875
decoders,linear,without_told,9,0.3237861679726192,0.31152152879006584,9,0,0.22005297979347024,0.48508979032325555,0.30362321517878965,0.3367528164950128,llama-2-7b,qwen2-7b,1.5826647189031847e-06,0.00390625
decoders,quadratic,without_told,9,0.17963261256007818,0.21444776084636863,8,1,-0.036933276384865946,0.37259672228768514,0.1555120988441273,0.20670334867819617,llama-2-7b,qwen2-7b,0.003164600030277242,0.01171875
decoders,linear,without_university,9,0.3232490801961317,0.3107475737187661,9,0,0.2199228319362652,0.4840122214690142,0.3031536875370214,0.336164861228615,llama-2-7b,qwen2-7b,1.5652996897255518e-06,0.00390625
decoders,quadratic,without_university,9,0.1794363348363857,0.21393739984583196,8,1,-0.03625319537626838,0.37173796503852324,0.15539863106111854,0.20639752611296747,llama-2-7b,qwen2-7b,0.003098770615114528,0.01171875
decoders,linear,without_west,9,0.32304833414797235,0.3103880554863419,9,0,0.21938823001035898,0.4842848693825117,0.30289376724365497,0.336005847165174,llama-2-7b,qwen2-7b,1.5994011564002833e-06,0.00390625
