group,control,words,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
decoders,quadratic,without_theory,9,0.21167664364128608,0.21163735935759392,9,0,0.06710207235516924,0.3632294349970621,0.1927325447218141,0.22974846505205068,llama-2-7b,llama-3.1-8b,0.0002711135087744557,0.00390625
decoders,linear,without_thin,9,0.30498887468676605,0.34914504328539875,9,0,0.0681238101722111,0.4398268540031805,0.2881341272722142,0.33459700775108536,llama-2-7b,llama-3.1-8b,0.000262497282665227,0.00390625
decoders,quadratic,without_thin,9,0.2118985756304524,0.2121748944114369,9,0,0.06733657213787675,0.36360245807820585,0.1929355903244832,0.22996882606702435,llama-2-7b,llama-3.1-8b,0.0002703610459046748,0.00390625
decoders,linear,without_trade,9,0.30489394490389166,0.3491149518527363,9,0,0.06780589196351143,0.4396792221386794,0.28804578524954316,0.33452995152143916,llama-2-7b,llama-3.1-8b,0.0002641400969572419,0.00390625
decoders,quadratic,without_trade,9,0.21171916712077912,0.21182423027979838,9,0,0.06691148492341882,0.36331774448847953,0.19276934494981657,0.22982012739544916,llama-2-7b,llama-3.1-8b,0.000272884106175812,0.00390625
decoders,linear,without_very,9,0.3051398071123128,0.3495781458200917,9,0,0.067551173970247,0.4401136991534273,0.2882680706071734,0.33483838625507095,llama-2-7b,llama-3.1-8b,0.0002658960210513214,0.00390625
decoders,quadratic,without_very,9,0.2115040757066396,0.21145271540887156,9,0,0.0664373468296091,0.3637435689485765,0.19247413905139749,0.22963741681626842,llama-2-7b,llama-3.1-8b,0.0002791947286008252,0.00390625
decoders,linear,without_appreciate,9,0.3047972720491099,0.34920287234532077,9,0,0.06777336643815136,0.4394695449256615,0.287963237939541,0.33442526025047975,llama-2-7b,llama-3.1-8b,0.00026513006764999377,0.00390625
decoders,quadratic,without_appreciate,9,0.2114736159141156,0.2116702231171146,9,0,0.06685537028580144,0.36287341725263533,0.19254864074680064,0.22955089661765488,llama-2-7b,llama-3.1-8b,0.00027452389958517446,0.00390625
decoders,linear,without_argument,9,0.3047080906831212,0.34888441776063167,9,0,0.06777696411906001,0.4395208492680046,0.2878564958600108,0.33432448150362887,llama-2-7b,llama-3.1-8b,0.0002644602066368244,0.00390625
decoders,quadratic,without_argument,9,0.2113191424138659,0.21114730075197166,9,0,0.06689437083925606,0.3629726368438226,0.19236245561012133,0.22937223886069213,llama-2-7b,llama-3.1-8b,0.0002746971887201768,0.00390625
decoders,linear,without_believe,9,0.30493194575764737,0.3487842723319465,9,0,0.06797048542810753,0.4398803906771393,0.2880633901427109,0.33455212829883985,llama-2-7b,llama-3.1-8b,0.00026203751048769987,0.00390625
