model,family,word,projection,condition,ratio,stable_rank_retained,fro_change,sep_max_base,sep_max_after,peak_retention,sep_mean_base,sep_mean_after,mean_retention,peak_layer_base,peak_layer_after,peak_shifted,peak_layer_shift,level,n_words,min_peak_retention,max_peak_retention,words_peak_up,words_mean_up,peak_shifts
qwen-7b,qwen,bat,v_proj,truncate,0.8,0.8002522475043254,0.1048393773243167,0.0403764247894287,0.0409424901008605,1.0140196987322168,0.0233441404998302,0.0240086261183023,1.0284647712121564,26.0,26.0,False,0.0,cell,,,,,,
qwen-7b,qwen,club,v_proj,truncate,0.8,0.8002522475043254,0.1048393773243167,0.0473791360855102,0.0531406998634338,1.121605505164237,0.0296425763517618,0.0306860599666833,1.035202190340634,26.0,32.0,True,6.0,cell,,,,,,
qwen-7b,qwen,pupil,v_proj,truncate,0.8,0.8002522475043254,0.1048393773243167,0.0776764154434204,0.0648934245109558,0.8354327905131546,0.0488840080797672,0.0436336994171142,0.8925966002197339,26.0,12.0,True,-14.0,cell,,,,,,
qwen1.5-7b,qwen,bat,v_proj,truncate,0.8,0.8002319686715829,0.104832758791356,0.0456014275550842,0.0460742115974426,1.0103677465313405,0.0283812116831541,0.0289168450981378,1.018872817022877,26.0,26.0,False,0.0,cell,,,,,,
qwen1.5-7b,qwen,club,v_proj,truncate,0.8,0.8002319686715829,0.104832758791356,0.0729467868804931,0.0619528889656066,0.8492887982455276,0.0455102063715457,0.0350522138178348,0.7702055563463772,32.0,32.0,False,0.0,cell,,,,,,
qwen1.5-7b,qwen,pupil,v_proj,truncate,0.8,0.8002319686715829,0.104832758791356,0.0932620763778686,0.0795055031776428,0.8524955294316149,0.0614087134599685,0.0499337539076805,0.8131379261060668,17.0,13.0,True,-4.0,cell,,,,,,
qwen2-7b,qwen,bat,v_proj,truncate,0.8,0.8007051546327557,0.1050887373614526,0.057393193244934,0.0246245861053466,0.42905063672372284,0.0327594839036464,0.0143858417868614,0.43913517774497474,24.0,15.0,True,-9.0,cell,,,,,,
qwen2-7b,qwen,club,v_proj,truncate,0.8,0.8007051546327557,0.1050887373614526,0.0827469825744628,0.0245225429534912,0.29635573637290913,0.0409735105931758,0.0134979775175452,0.3294318041616212,28.0,7.0,True,-21.0,cell,,,,,,
qwen2-7b,qwen,pupil,v_proj,truncate,0.8,0.8007051546327557,0.1050887373614526,0.1093809008598327,0.0584536790847778,0.5344048058233117,0.0708292201161384,0.0343793742358684,0.4853840573070926,13.0,7.0,True,-6.0,cell,,,,,,
qwen2.5-7b,qwen,bat,v_proj,truncate,0.8,0.8007460809656536,0.1050751736504594,0.053409457206726,0.0227468609809875,0.4258957527492514,0.0305999461561441,0.0135752987116575,0.4436379934260683,13.0,11.0,True,-2.0,cell,,,,,,
qwen2.5-7b,qwen,club,v_proj,truncate,0.8,0.8007460809656536,0.1050751736504594,0.0622094273567199,0.0223553776741027,0.3593567506402686,0.0324832685291767,0.0115515729412436,0.3556160898915667,23.0,10.0,True,-13.0,cell,,,,,,
qwen2.5-7b,qwen,pupil,v_proj,truncate,0.8,0.8007460809656536,0.1050751736504594,0.1060331463813781,0.0543513298034668,0.5125881071941119,0.0661382004618644,0.0314774960279464,0.4759351752561891,15.0,7.0,True,-8.0,cell,,,,,,
qwen3-8b,qwen,bat,v_proj,truncate,0.8,0.8005113958468197,0.1051670959463128,0.0538783073425293,0.0654858946800232,1.215440831570656,0.0319369211792945,0.0346934087574481,1.0863103729592036,18.0,30.0,True,12.0,cell,,,,,,
qwen3-8b,qwen,club,v_proj,truncate,0.8,0.8005113958468197,0.1051670959463128,0.0480070710182189,0.0435975193977355,0.9081478722413631,0.0301206950098276,0.0274171698838472,0.9102436007835041,18.0,31.0,True,13.0,cell,,,,,,
qwen3-8b,qwen,pupil,v_proj,truncate,0.8,0.8005113958468197,0.1051670959463128,0.1070631146430969,0.0813198387622833,0.7595504673422702,0.0608725808560848,0.048555914312601,0.7976647881481662,18.0,31.0,True,13.0,cell,,,,,,
llama-7b,llama,,,,,0.800319421631662,,,,0.33245016364368396,,,0.33268901150809377,,,,,model,3.0,0.3181038819700404,0.3410630084870076,0.0,0.0,2.0
llama-2-7b,llama,,,,,0.800326438362584,,,,0.0022812498612255552,,,-0.023162576542773008,,,,,model,3.0,0.0,0.004025601513509752,0.0,0.0,3.0
llama-3-8b,llama,,,,,0.800517171995054,,,,0.08661720283480145,,,0.0774047982508335,,,,,model,3.0,0.07448378006785547,0.10451819835975693,0.0,0.0,3.0
llama-3.1-8b,llama,,,,,0.8005914622591059,,,,0.11625145648258799,,,0.10129566984553828,,,,,model,3.0,0.09762760872597845,0.1473719838712745,0.0,0.0,3.0
qwen-7b,qwen,,,,,0.8002522475043254,,,,0.9903526648032028,,,0.9854211872575082,,,,,model,3.0,0.8354327905131546,1.121605505164237,2.0,2.0,2.0
